 ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Continuous interest rate (after tax), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Per Share Net profit before tax (Yuan ¥), Net Value Growth Rate, Interest Expense Ratio, Borrowing dependency, Net profit before tax/Paid-in capital, Retained Earnings to Total Assets, Total income/Total expense, Net Income to Total Assets, Net Income to Stockholder's Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT),Bankrupt?
0.424389446,0.405749772,0.78098485,0.147949939,0.147949939,0.147949939,0.169140588,0.13873616,0.000326977,0.629951302,0.390284354,0.137757334,0.903224771,0.002021613,0.716845343,0.827890214,0.026600631,0.564050112,1
0.53821413,0.516730018,0.781505974,0.182251064,0.182251064,0.182251064,0.208943935,0.169917903,0.00044304,0.635172463,0.37676002,0.168961617,0.931065218,0.002225608,0.795297136,0.839969268,0.26457682,0.570174946,1
0.499018753,0.472295091,0.780283936,0.17791075,0.17791075,0.193712865,0.180580505,0.142803344,0.000396425,0.629631443,0.37909292,0.148035593,0.909903362,0.002060071,0.774669697,0.836774309,0.02655472,0.563706076,1
0.451264719,0.457733283,0.781240991,0.154186507,0.154186507,0.154186507,0.193722227,0.148602847,0.000382426,0.630228353,0.379742688,0.147560516,0.906902159,0.001831359,0.739554525,0.834697107,0.026696634,0.56466342,1
0.538432185,0.522297768,0.781550045,0.167502423,0.167502423,0.167502423,0.212536636,0.168411539,0.000438948,0.636054986,0.375025443,0.167460976,0.913850197,0.00222393,0.795015873,0.839972746,0.024751848,0.575616645,1
0.415176625,0.419133787,0.781069061,0.155577093,0.155577093,0.155577093,0.174435095,0.138811478,0.000351782,0.630183833,0.381448187,0.137825202,0.903041267,0.001865609,0.710420495,0.829938957,0.026675366,0.564538339,1
0.445704317,0.436158253,0.781180079,0.158821794,0.158821794,0.158821794,0.161482462,0.128944792,0.000351757,0.629987945,0.384998982,0.127939069,0.911441408,0.002120736,0.736619098,0.829979764,0.026622298,0.56420012,0
0.570922372,0.559077038,0.781621483,0.176983692,0.176983692,0.176983692,0.225205635,0.180462454,0.00045105,0.631379022,0.374219105,0.17951889,0.935449309,0.002359999,0.815350392,0.84145944,0.027030517,0.566088942,0
0.545137375,0.543283902,0.781598185,0.184189457,0.184189457,0.184189457,0.218398412,0.173156587,0.000452722,0.630914987,0.370253398,0.172158962,0.935200209,0.00227396,0.80364729,0.840486633,0.02689063,0.565591901,0
0.550915831,0.542962685,0.781574185,0.177447221,0.177447221,0.177447221,0.217831143,0.176621225,0.000444912,0.632188258,0.37450876,0.175657944,0.938289897,0.002269196,0.804194657,0.840688177,0.027243015,0.566667622,0
0.567542521,0.538197976,0.781629483,0.182925288,0.182925288,0.182925288,0.21896568,0.178579498,0.000448555,0.631236901,0.374179962,0.17761104,0.942828956,0.002337657,0.814110614,0.841337129,0.026971091,0.56589153,0
0.549716529,0.498956047,0.781373202,0.173865408,0.173865408,0.173865408,0.20468942,0.172478723,0.000455068,0.632095793,0.373113046,0.171525526,0.932955215,0.002256752,0.804886953,0.840649732,0.027390858,0.566982649,0
0.551569996,0.543390974,0.781609132,0.169398677,0.169398677,0.169398677,0.219343859,0.17428636,0.000442965,0.632377639,0.377306898,0.173290099,0.930139635,0.00227305,0.803260161,0.840702416,0.027479725,0.567146327,0
0.533307894,0.523689705,0.781550887,0.171547765,0.171547765,0.171547765,0.212914815,0.168863448,0.000442092,0.640422734,0.37315107,0.167860644,0.930763203,0.00221748,0.794157853,0.839910497,0.02499974,0.577445287,0
0.575828609,0.569837786,0.781709624,0.180565505,0.180565505,0.180565505,0.226434717,0.178880771,0.000473734,0.631670799,0.373692357,0.177920217,0.940251658,0.002569822,0.819715357,0.84162368,0.026896287,0.56561432,0
0.571085914,0.558755822,0.781652501,0.174328937,0.174328937,0.181787535,0.223787463,0.182420728,0.000469242,0.631097177,0.373544733,0.179828067,0.93354091,0.002289993,0.815418714,0.84139905,0.026897241,0.565618081,0
0.56023768,0.540285883,0.781933905,0.183852345,0.183852345,0.183852345,0.220194762,0.176169315,0.000458562,0.631239298,0.372267566,0.175167785,0.942018219,0.002551771,0.810421135,0.840888957,0.027002799,0.565999165,0
0.59043829,0.580919749,0.781726606,0.189541107,0.189541107,0.189541107,0.233052851,0.189274686,0.000471763,0.631059506,0.372724975,0.188288968,0.948858907,0.002360951,0.826642041,0.841983322,0.026907808,0.565659318,0
0.55980157,0.55864875,0.781587939,0.175129577,0.175129577,0.175129577,0.220005673,0.176018679,0.000461032,0.632451953,0.378709322,0.175062213,0.935009282,0.002318045,0.806263915,0.840954676,0.027637049,0.567398598,0
0.543720017,0.533647412,0.781598606,0.176478025,0.176478025,0.176478025,0.217452964,0.174512315,0.00044556,0.631267722,0.371230845,0.173531408,0.933563971,0.002242858,0.802551849,0.840455976,0.026924264,0.565722078,0
0.545573485,0.534664597,0.781654326,0.189119717,0.189119717,0.189119717,0.219343859,0.176169315,0.00044561,0.630623553,0.369637181,0.17520549,0.93976514,0.002293048,0.804639012,0.840638613,0.026793778,0.565170865,0
0.564489751,0.553027464,0.781629343,0.185453626,0.185453626,0.185453626,0.225394724,0.181667545,0.000466397,0.630982795,0.371209596,0.180665108,0.937920805,0.002322076,0.814011883,0.84131147,0.02688993,0.565589111,0
0.563672045,0.569034745,0.781624852,0.176983692,0.176983692,0.176983692,0.223220195,0.177449725,0.000466971,0.63223723,0.377012769,0.176494985,0.936223802,0.00226913,0.808976427,0.841234474,0.02756541,0.5672891,0
0.54813563,0.540446491,0.781595659,0.184400152,0.184400152,0.184400152,0.21896568,0.173834451,0.00044319,0.634338913,0.387275964,0.172860267,0.938561233,0.002245935,0.798103629,0.840325896,0.029363911,0.568730146,0
0.561382468,0.552599176,0.781591168,0.172896212,0.172896212,0.172896212,0.221896568,0.178278226,0.000457539,0.633345776,0.388057698,0.177309404,0.933883562,0.002274344,0.803444645,0.841046745,0.028206124,0.56804294,0
0.50365242,0.495529739,0.78124857,0.161307994,0.161307994,0.161307994,0.203554883,0.160653762,0.000397498,0.628951316,0.377159275,0.159678757,0.923742746,0.002098267,0.772908885,0.837925614,0.026415313,0.56237711,0
0.563617532,0.568606456,0.781672712,0.179217058,0.179217058,0.179217058,0.224260187,0.179633953,0.00045417,0.631321489,0.372166913,0.178696931,0.942045501,0.002284709,0.812973644,0.841187895,0.026924486,0.565722915,0
0.59305495,0.592483538,0.781699799,0.182630315,0.182630315,0.182630315,0.228420157,0.185960684,0.000458861,0.630964987,0.369875392,0.184986049,0.943096297,0.002505647,0.830176405,0.841854182,0.02685216,0.565433399,0
0.563944614,0.550564805,0.78163622,0.177952889,0.177952889,0.177952889,0.220572941,0.178428862,0.000460982,0.631503678,0.3719712,0.177490385,0.937685848,0.00236163,0.812100285,0.841115993,0.027066721,0.56620058,0
0.470235499,0.463782858,0.7814285,0.156209178,0.156209178,0.156209178,0.177838707,0.139639979,0.000417986,0.629275284,0.392590414,0.138624538,0.908947698,0.002083504,0.750430839,0.831976032,0.026471873,0.562976865,1
0.53603358,0.514427967,0.781367728,0.145505878,0.145505878,0.145505878,0.202514891,0.165549446,0.000417811,0.64852365,0.396528161,0.164565267,0.868460717,0.002162379,0.787081562,0.838258502,0.024885858,0.576472531,1
0.54448321,0.529685743,0.781538255,0.158695377,0.158695377,0.158695377,0.21102392,0.169993221,0.000444213,0.635145409,0.38402489,0.16899178,0.908330179,0.002230174,0.796022666,0.840052355,0.174090904,0.570161349,0
0.570704317,0.559826543,0.78161994,0.177025831,0.177025831,0.177025831,0.225394724,0.179257362,0.000450302,0.631549568,0.37558015,0.178206772,0.93747354,0.002348642,0.814102144,0.841431598,0.027118794,0.566350913,0
0.544755778,0.540500027,0.781598466,0.185875016,0.185875016,0.185875016,0.218209322,0.173081268,0.000452099,0.631230737,0.370535225,0.172091094,0.937101764,0.002269939,0.802923478,0.840451101,0.027003182,0.566000432,0
0.550915831,0.548583971,0.78157615,0.174033964,0.174033964,0.174033964,0.218682046,0.173608496,0.000433258,0.63249476,0.37531398,0.172656662,0.934730337,0.002259819,0.803065744,0.840608632,0.027676969,0.56745611,0
0.564544265,0.525028106,0.781551448,0.180186254,0.180186254,0.180186254,0.213576629,0.17767568,0.000451699,0.631589636,0.376271296,0.17669859,0.938233789,0.00231643,0.811257383,0.841252149,0.027114608,0.566339248,0
0.516354121,0.51710477,0.781472009,0.166111837,0.166111837,0.166111837,0.209794838,0.164419673,0.000415565,0.628333174,0.377688259,0.163471835,0.927407109,0.002185512,0.784384879,0.839028885,0.026385277,0.562016229,0
